content_id,answer,annotator_id,session_id,time_spent,timestamp,model_id,input_type
gpt-4.1_video_youtube_rate_1,"['Violence', 'Language']",hy4,session_1760766233855,65,2025-10-18T05:44:58.669356,gpt-4.1,video
gpt-4.1_video_youtube_rate_2,['Violence'],hy4,session_1760766233855,68,2025-10-18T05:46:06.508885,gpt-4.1,video
gpt-4.1_video_youtube_rate_3,['Sex and Nudity'],hy4,session_1760766233855,83,2025-10-18T05:47:29.394557,gpt-4.1,video
gpt-4.1_video_youtube_rate_4,['Violence'],hy4,session_1760766233855,53,2025-10-18T05:48:22.634715,gpt-4.1,video
gpt-4.1_video_youtube_rate_5,"['Sex and Nudity', 'Violence']",hy4,session_1760766233855,65,2025-10-18T05:49:27.294333,gpt-4.1,video
gpt-4.1_video_youtube_rate_6,"['Violence', 'Bias']",hy4,session_1760766233855,69,2025-10-18T05:50:36.849356,gpt-4.1,video
gpt-4.1_video_youtube_rate_6_bias,"Race,Culture",hy4,session_1760766233855,14,2025-10-18T05:50:51.044729,,
gpt-4.1_video_youtube_rate_7,"['Sex and Nudity', 'Language', 'Bias']",hy4,session_1760766233855,99,2025-10-18T05:52:29.824361,gpt-4.1,video
gpt-4.1_video_youtube_rate_7_bias,Gender,hy4,session_1760766233855,15,2025-10-18T05:52:44.510176,,
gpt-4.1_video_youtube_rate_8,"['Violence', 'Bias']",hy4,session_1760767601540,40,2025-10-18T06:07:21.295601,gpt-4.1,video
gpt-4.1_video_youtube_rate_8_bias,Appearance,hy4,session_1760767601540,14,2025-10-18T06:07:35.766306,,
gpt-4.1_video_youtube_rate_9,"['Violence', 'Bias']",hy4,session_1760767601540,47,2025-10-18T06:08:22.696202,gpt-4.1,video
gpt-4.1_video_youtube_rate_9_bias,Gender,hy4,session_1760767601540,27,2025-10-18T06:08:50.191503,,
gpt-4.1_video_youtube_rate_10,"['Sex and Nudity', 'Violence', 'Bias']",hy4,session_1760767601540,68,2025-10-18T06:09:58.636685,gpt-4.1,video
gpt-4.1_video_youtube_rate_10_bias,"Gender,Appearance",hy4,session_1760767601540,10,2025-10-18T06:10:08.786027,,
gpt-4.1_video_youtube_rate_11,"['Language', 'Violence', 'Sex and Nudity', 'Bias']",hy4,session_1760767601540,68,2025-10-18T06:11:16.761166,gpt-4.1,video
gpt-4.1_video_youtube_rate_11_bias,"Gender,Appearance",hy4,session_1760767601540,19,2025-10-18T06:11:35.581303,,
gpt-4.1_video_youtube_rate_12,"['Violence', 'Language']",hy4,session_1760767601540,67,2025-10-18T06:12:42.661902,gpt-4.1,video
gpt-4.1_video_youtube_rate_13,"['Violence', 'Language', 'Bias']",hy4,session_1760767601540,53,2025-10-18T06:13:35.636304,gpt-4.1,video
gpt-4.1_video_youtube_rate_13_bias,Appearance,hy4,session_1760767601540,7,2025-10-18T06:13:42.866609,,
gpt-4.1_video_youtube_rate_14,"['Sex and Nudity', 'Language', 'Bias']",hy4,session_1760767601540,74,2025-10-18T06:14:56.516853,gpt-4.1,video
gpt-4.1_video_youtube_rate_14_bias,"Age,Gender",hy4,session_1760767601540,13,2025-10-18T06:15:10.032240,,
gpt-4.1_video_youtube_rate_15,['Bias'],hy4,session_1760767601540,67,2025-10-18T06:16:17.271805,gpt-4.1,video
gpt-4.1_video_youtube_rate_15_bias,Nationality,hy4,session_1760767601540,12,2025-10-18T06:16:29.222025,,
gpt-4.1_video_youtube_rate_16,"['Sex and Nudity', 'Violence', 'Language', 'Bias']",hy4,session_1760767601540,122,2025-10-18T06:18:31.357138,gpt-4.1,video
gpt-4.1_video_youtube_rate_16_bias,"Social Status,Appearance",hy4,session_1760767601540,8,2025-10-18T06:18:39.662002,,
gpt-4.1_video_youtube_rate_17,['Bias'],hy4,session_1760767601540,93,2025-10-18T06:20:12.447191,gpt-4.1,video
gpt-4.1_video_youtube_rate_17_bias,Gender,hy4,session_1760767601540,56,2025-10-18T06:21:08.047396,,
gpt-4.1_video_youtube_rate_18,"['Violence', 'Sex and Nudity', 'Bias']",hy4,session_1760767601540,73,2025-10-18T06:22:20.837132,gpt-4.1,video
gpt-4.1_video_youtube_rate_18_bias,"Gender,Appearance",hy4,session_1760767601540,10,2025-10-18T06:22:30.852131,,
gpt-4.1_video_youtube_rate_19,['None'],hy4,session_1760767601540,69,2025-10-18T06:23:39.477170,gpt-4.1,video
gpt-4.1_video_youtube_rate_20,"['Sex and Nudity', 'Violence', 'Language', 'Bias']",hy4,session_1760767601540,70,2025-10-18T06:24:49.627538,gpt-4.1,video
gpt-4.1_video_youtube_rate_20_bias,"Race,Gender,Culture,Appearance",hy4,session_1760767601540,9,2025-10-18T06:24:59.042197,,
gpt-4.1_video_youtube_rate_21,"['Violence', 'Language']",hy4,session_1760767601540,61,2025-10-18T06:25:59.712605,gpt-4.1,video
gpt-4.1_video_youtube_rate_22,"['Violence', 'Language']",hy4,session_1760767601540,68,2025-10-18T06:27:08.067513,gpt-4.1,video
gpt-4.1_video_youtube_rate_23,"['Violence', 'Language', 'Bias']",hy4,session_1760767601540,118,2025-10-18T06:29:06.428398,gpt-4.1,video
gpt-4.1_video_youtube_rate_23_bias,Appearance,hy4,session_1760767601540,3,2025-10-18T06:29:09.508287,,
gpt-4.1_video_youtube_rate_24,['Violence'],hy4,session_1760767601540,55,2025-10-18T06:30:04.128236,gpt-4.1,video
gpt-4.1_video_youtube_rate_25,['Violence'],hy4,session_1760767601540,70,2025-10-18T06:31:14.422866,gpt-4.1,video
gpt-4.1_video_youtube_rate_26,"['Violence', 'Language']",hy4,session_1760767601540,82,2025-10-18T06:32:36.347960,gpt-4.1,video
gpt-4.1_video_youtube_rate_27,"['Violence', 'Bias']",hy4,session_1760767601540,54,2025-10-18T06:33:30.863898,gpt-4.1,video
gpt-4.1_video_youtube_rate_27_bias,Appearance,hy4,session_1760767601540,3,2025-10-18T06:33:33.457891,,
gpt-4.1_video_youtube_rate_28,['Violence'],hy4,session_1760767601540,62,2025-10-18T06:34:35.538026,gpt-4.1,video
gpt-4.1_video_youtube_rate_29,['Violence'],hy4,session_1760767601540,69,2025-10-18T06:35:44.678198,gpt-4.1,video
gpt-4.1_video_youtube_rate_30,['None'],hy4,session_1760767601540,73,2025-10-18T06:36:57.539127,gpt-4.1,video
gpt-4.1_video_youtube_rate_31,"['Violence', 'Language', 'Bias']",hy4,session_1760767601540,343,2025-10-18T06:42:40.519553,gpt-4.1,video
